Atlántida,9,469,4,797,4,670,2
Colón,8,218,4,184,4,013,21
Comayagua,11,863,6,077,5,758,28
Copán,11,110,5,607,5,423,80
Cortés,35,778,18,364,17,399,15
Choluteca,9,926,5,045,4,868,13
El Paraíso,10,073,5,103,4,939,31
Francisco Morazán,32,014,16,390,15,571,53
Gracias a Dios,1,211,622,587,2
Intibucá,6,053,3,093,2,952,8
Islas de la Bahía,1,356,709,647,0
La Paz,5,457,2,784,2,653,20
Lempira,8,613,4,357,4,233,23
Ocotepeque,3,502,1,822,1,670,10
Olancho,12,477,6,399,6,036,42
Santa Bárbara,10,365,5,391,4,953,21
Valle,3,840,1,949,1,886,5
Yoro,13,614,6,927,6,651,36
Ns/Nr,5,354,2,802,2,548,4
Total,200,293,102,422,97,457,414
