"Departamento","Total","Hombre","Mujer","Datos en Banco"
"Atlantida","9469","4797","4670","2"
"Colon","8218","4184","4013","21"
"Comayagua","11863","6077","5758","28"
"Copan","11110","5607","5423","80"
"Cortes","35778","18364","17399","15"
"Choluteca","9926","5045","4868","13"
"El Paraiso","10073","5103","4939","31"
"Francisco Morazan","32014","16390","15571","53"
"Gracias a Dios","1211","622","587","2"
"Intibuca","6053","3093","2952","8"
"Islas de la Bahia","1356","709","647","0"
"La Paz","5457","2784","2653","20"
"Lempira","8613","4357","4233","23"
"Ocotepeque","3502","1822","1670","10"
"Olancho","12477","6399","6036","42"
"Santa Barbara","10365","5391","4953","21"
"Valle","3840","1949","1886","5"
"Yoro","13614","6927","6651","36"
"Ns/Nr","5354","2802","2548","4"
"Total","200293","102422","97457","414"
