"Periodo","Total","Docente","Administrativo","Servicio"
"2000","5191","3570","1166","455"
"2001","5371","3576","1236","559"
"2002","5098","3589","1106","403"
"2003","5315","3707","1289","319"
"2004","5557","3720","1275","562"
"2005","5925","3440","1726","759"
"2006","5606","3037","1726","843"
"2007","5691","3098","1744","849"
"2008","5787","3202","1712","873"
"2009","5856","3343","1625","888"
"2010","5856","3343","1625","888"
"2011","5806","3316","1644","846"
"2012","5862","3515","1513","834"
"2013","5415","3069","1562","784"
"2014","5632","3399","1512","721"
"2015","6398","3773","1726","899"
"2016","6577","3840","1862","875"
"2017","7045","3911","2050","1084"
